x, y
0.91102, 15.94154
1.34322, 9.47602
1.34322, 12.06223
1.35169, 14.64844
2.04237, 9.47602
3.59746, 21.54499
3.59746, 24.1312
3.59746, 26.7174
3.61864, 24.1312
3.62288, 21.54499
3.62712, 18.95878
3.63559, 16.37258
3.64407, 13.78637
3.65254, 11.20016
3.60593, 29.30361
3.61017, 31.88982
3.75, 19.82085
3.75424, 17.23464
3.76271, 14.64844
3.77119, 12.06223
3.72881, 17.66568
3.7839, 17.23464
3.78814, 19.82085
3.79661, 22.40706
3.80508, 24.99327
-0.00847, 9.90706
1.4661, 9.90706
2.63983, 14.2174
2.62712, 16.80361
2.61441, 13.78637
2.61017, 11.20016
2.62712, 19.38982
2.73305, 10.33809
2.72881, 12.9243
2.70339, 12.9243
2.68644, 15.51051
2.6822, 18.09671
2.67373, 20.68292
2.66949, 23.26913
2.75424, 13.35533
2.77542, 15.94154
2.79661, 13.35533
2.80508, 15.94154
3.89831, 18.09671
3.89407, 15.51051
3.88136, 12.9243
3.85593, 12.49327
3.84746, 15.07947
3.84746, 17.66568
3.84322, 20.25189
3.83898, 22.83809
3.83898, 25.4243
3.83475, 28.01051
3.83475, 30.59671
3.82627, 33.18292
3.82627, 35.76913
-0.02542, 10.33809
-0.02966, 12.9243
-0.03814, 15.51051
2.36864, 10.33809
-0.00424, 11.20016
1.09322, 11.20016
2.50424, 10.76913
2.5, 13.35533
1.64831, 11.20016
1.64831, 13.78637
2.66102, 13.78637
3.03814, 11.20016
5.36864, 11.20016
0.39831, 11.6312
0.40678, 14.2174
1.00424, 11.6312
1.91525, 11.6312
3.52542, 11.6312
0.36441, 12.49327
0.37288, 15.07947
0.37288, 17.66568
0.60169, 13.78637
0.57627, 12.9243
1.86441, 12.06223
0.05508, 12.49327
0.7839, 12.49327
0.79661, 15.07947
0.80085, 17.66568
2.91102, 12.49327
2.89407, 15.07947
2.88559, 17.66568
2.86017, 17.66568
2.84746, 20.25189
3.46186, 12.49327
3.46186, 15.07947
3.43644, 17.66568
3.4322, 20.25189
3.42797, 22.83809
3.42373, 25.4243
3.42373, 28.01051
3.41949, 30.59671
3.41949, 33.18292
3.41525, 35.76913
3.47458, 17.66568
3.47458, 20.25189
0.53814, 13.35533
0.53814, 15.94154
0.55085, 18.52775
1.00424, 12.9243
1.00424, 15.51051
1.00847, 18.09671
1.01695, 20.68292
1.02966, 23.26913
1.0339, 25.85533
1.03814, 28.44154
2.02542, 18.52775
2.02966, 15.94154
2.03814, 13.35533
2.92797, 12.9243
2.92797, 15.51051
3.32627, 13.35533
3.31356, 15.94154
3.31356, 18.52775
3.30932, 21.11395
3.30932, 23.70016
3.66525, 12.9243
3.68644, 15.51051
3.69068, 18.09671
1.27119, 13.35533
2.36441, 13.78637
0.31356, 13.78637
0.31356, 16.37258
0.30932, 18.95878
0.30085, 21.54499
0.29661, 24.1312
3.03814, 13.78637
4.4322, 25.4243
4.42797, 22.83809
4.40254, 20.25189
4.39407, 17.66568
4.38559, 15.07947
4.36017, 14.2174
4.35169, 16.80361
5.31356, 13.78637
5.37288, 14.2174
0.5678, 14.2174
0.5678, 16.80361
2.15678, 14.2174
2.1822, 16.37258
2.54661, 16.80361
2.53814, 19.38982
2.5678, 19.82085
2.5678, 17.23464
2.55932, 14.64844
0.07627, 14.64844
0.49576, 26.7174
0.49576, 24.1312
0.48729, 21.54499
0.4661, 18.95878
0.44492, 16.37258
2.07203, 14.64844
2.5, 15.07947
2.47458, 15.51051
2.49153, 17.66568
2.49153, 20.25189
3.52119, 14.64844
4.11864, 21.54499
4.11441, 18.95878
4.11441, 16.37258
4.08898, 19.82085
4.06356, 20.68292
4.05932, 23.26913
4.97881, 32.32085
4.97458, 29.73464
4.97034, 27.14844
4.9661, 24.56223
4.9661, 21.97602
4.9661, 19.38982
4.96186, 16.80361
4.93644, 17.23464
0.86017, 15.07947
0.85593, 17.66568
0.85169, 20.25189
0.85169, 22.83809
0.85169, 25.4243
0.85169, 28.01051
0.60593, 15.51051
0.61017, 18.09671
0.61017, 20.68292
0.61864, 23.26913
0.61864, 25.85533
1.06356, 22.83809
1.06356, 20.25189
1.0678, 17.66568
2.36017, 15.51051
3.05508, 20.25189
3.04237, 17.66568
2.44068, 16.37258
2.44492, 18.95878
2.60593, 15.94154
3.19068, 22.40706
3.19492, 19.82085
3.19492, 17.23464
3.22034, 17.66568
3.22458, 20.25189
3.23305, 22.83809
4.62712, 25.4243
4.61864, 22.83809
4.60593, 20.25189
4.60169, 17.66568
4.58051, 22.83809
4.57627, 25.4243
4.5678, 28.01051
4.56356, 30.59671
5.30932, 15.94154
5.30932, 18.52775
5.30932, 21.11395
5.30932, 23.70016
5.30932, 26.28637
5.30932, 28.87258
5.30508, 31.45878
5.27966, 30.59671
0.08051, 16.37258
0.08475, 18.95878
0.09322, 21.54499
0.09746, 24.1312
0.10593, 26.7174
1.46186, 16.37258
1.46186, 18.95878
1.45763, 21.54499
1.57627, 18.52775
2.14831, 16.37258
2.14407, 18.95878
3.10593, 25.4243
3.11017, 22.83809
3.13136, 20.25189
3.15254, 17.66568
3.16525, 20.25189
3.16949, 22.83809
4.47034, 16.80361
4.48729, 19.38982
4.51271, 21.97602
4.5339, 24.56223
4.5339, 27.14844
5.04661, 23.26913
5.03814, 20.68292
5.04237, 18.09671
2.60169, 16.80361
0.75, 17.23464
0.74576, 19.82085
1.35593, 17.23464
1.35593, 19.82085
1.36017, 22.40706
1.36441, 24.99327
1.65254, 17.66568
1.65678, 20.25189
2.35593, 17.23464
2.35593, 19.82085
2.35593, 22.40706
4.80932, 17.23464
4.81356, 19.82085
0.41102, 17.66568
2.80932, 17.66568
4.76271, 24.1312
4.75847, 21.54499
4.74576, 18.95878
4.72034, 20.25189
4.69915, 22.83809
4.69492, 25.4243
4.69068, 28.01051
4.69068, 30.59671
4.69068, 33.18292
4.89831, 23.70016
4.89831, 21.11395
4.90678, 18.52775
5.37712, 17.66568
0.62712, 18.09671
0.9661, 22.83809
0.97458, 20.25189
1.91102, 18.52775
3.35593, 18.52775
3.35593, 21.11395
3.36017, 23.70016
0.42373, 18.95878
0.41525, 21.54499
0.69492, 19.38982
0.72034, 21.54499
2.19492, 18.95878
2.93644, 19.38982
2.93644, 21.97602
2.94068, 24.56223
2.97881, 20.68292
3.95763, 29.73464
3.95763, 32.32085
3.95339, 34.90706
3.94492, 37.49327
3.92373, 34.90706
3.91949, 32.32085
3.91949, 29.73464
3.91102, 27.14844
3.90678, 24.56223
3.90678, 21.97602
3.94915, 40.07947
1.86864, 19.82085
1.87288, 22.40706
1.88136, 24.99327
3.51695, 19.82085
3.51695, 22.40706
3.51695, 24.99327
3.51695, 27.57947
3.51695, 30.16568
3.49153, 30.16568
3.49153, 27.57947
3.48729, 24.99327
3.50424, 32.75189
3.50847, 35.33809
0.52966, 20.25189
0.52542, 22.83809
0.52119, 25.4243
2.09322, 20.25189
0.80932, 21.11395
0.80932, 23.70016
2.02119, 21.11395
2.19915, 21.11395
2.8178, 21.54499
4.46186, 21.11395
1.25, 21.54499
1.40254, 21.54499
1.39831, 24.1312
1.90678, 21.54499
1.90678, 24.1312
2.59746, 21.54499
3.05932, 21.54499
0.91949, 21.97602
0.91949, 24.56223
0.92797, 27.14844
1.76271, 21.97602
1.76271, 24.56223
1.76695, 27.14844
3.96186, 25.4243
3.9661, 22.83809
3.98729, 28.01051
4.01271, 28.44154
4.01695, 31.02775
4.02542, 33.61395
4.02542, 36.20016
4.03814, 38.78637
4.04661, 33.61395
4.05508, 31.02775
4.03814, 41.37258
4.04237, 43.95878
4.86864, 30.59671
4.86441, 28.01051
4.86441, 25.4243
4.83898, 22.83809
1.26695, 22.40706
1.55085, 29.73464
1.55085, 27.14844
1.54661, 24.56223
1.99576, 22.40706
2.10593, 24.56223
2.57203, 22.40706
2.97881, 22.40706
3.69492, 22.40706
2.01695, 22.83809
2.32203, 23.26913
2.32627, 25.85533
2.33051, 28.44154
2.13983, 23.26913
2.13983, 25.85533
2.13559, 28.44154
2.11017, 26.28637
2.13136, 31.02775
2.24153, 23.26913
2.34746, 23.26913
2.46186, 24.99327
4.12288, 23.26913
4.12288, 25.85533
4.76695, 28.01051
4.77119, 30.59671
4.77542, 33.18292
4.79661, 30.16568
4.80085, 27.57947
4.80085, 24.99327
2.01695, 23.70016
2.22034, 28.01051
2.20763, 25.4243
2.59322, 23.70016
2.58475, 26.28637
2.97458, 23.70016
2.97034, 26.28637
5.02966, 23.70016
5.02542, 26.28637
5.01695, 28.87258
3.69915, 28.01051
3.70763, 30.59671
3.7161, 25.4243
3.70763, 33.18292
3.71186, 35.76913
1.6822, 24.56223
1.6822, 27.14844
3.06356, 24.56223
3.0678, 27.14844
3.07627, 29.73464
3.23729, 24.56223
3.24153, 27.14844
3.25, 29.73464
4.46186, 24.56223
4.46186, 27.14844
4.46186, 29.73464
4.46186, 32.32085
4.46186, 34.90706
4.44068, 32.32085
4.43644, 29.73464
4.44915, 37.49327
4.45763, 40.07947
4.45763, 42.66568
1.05932, 24.99327
1.05932, 27.57947
1.05932, 30.16568
1.05508, 32.75189
1.05085, 35.33809
3.69492, 25.4243
1.57203, 25.85533
1.57203, 28.44154
1.57203, 31.02775
1.5678, 33.61395
1.66102, 25.85533
1.90678, 25.85533
1.90678, 28.44154
2.24153, 25.85533
4.05508, 25.85533
5.05932, 28.87258
3.95763, 26.28637
4.89407, 26.28637
4.89407, 28.87258
4.88983, 31.45878
0.95763, 26.7174
3.10169, 26.7174
3.09746, 29.30361
3.09746, 31.88982
3.09322, 34.47602
3.36441, 26.7174
1.25847, 27.14844
1.25847, 29.73464
1.39407, 27.57947
1.38136, 30.16568
1.79237, 27.57947
1.79237, 30.16568
3.95763, 27.57947
4.68644, 36.6312
4.68644, 39.2174
4.66102, 40.51051
4.66102, 37.9243
4.65678, 35.33809
4.65254, 32.75189
4.64831, 30.16568
0.5, 28.01051
0.50424, 30.59671
0.50847, 33.18292
0.83475, 28.01051
0.83898, 30.59671
0.84322, 33.18292
1.66525, 28.01051
3.29661, 28.01051
3.29661, 30.59671
3.28814, 33.18292
3.28814, 35.76913
3.26271, 33.18292
4.05508, 28.01051
2, 28.44154
5.12712, 31.45878
5.10169, 31.02775
2.22458, 30.16568
2.23305, 32.75189
3.80932, 28.87258
0.95339, 29.30361
1.67797, 34.90706
1.67373, 32.32085
1.90254, 30.16568
4.53814, 29.73464
0.95339, 30.16568
0.94915, 32.75189
2.01271, 30.16568
2.00847, 32.75189
3.36864, 30.16568
4.16949, 31.88982
4.5678, 34.04499
4.56356, 36.6312
4.56356, 39.2174
