x, y
-0.92927, -99.9566
-0.92748, -116.62326
-0.92569, -133.28993
-0.91495, -133.28993
-0.91853, -116.62326
-0.92569, -149.9566
-0.91495, -149.9566
-0.90779, -116.62326
-0.90779, -99.9566
-0.90779, -83.28993
-0.90779, -66.62326
-0.90242, -49.9566
-0.90242, -33.28993
-0.90242, -16.62326
-0.90242, 0.0434
-0.90421, 16.71007
-0.89705, -69.40104
-0.89346, -86.06771
-0.89346, -102.73438
-0.88451, -119.40104
-0.88093, -136.06771
-0.87914, -152.73438
-0.87914, -169.40104
-0.87556, -186.06771
-0.86482, -177.73438
-0.86482, -161.06771
-0.86303, -144.40104
-0.86303, -127.73438
-0.85944, -111.06771
-0.85944, -94.40104
-0.85944, -77.73438
-0.85944, -61.06771
-0.85765, -44.40104
-0.85765, -27.73438
-0.85765, -11.06771
-0.85586, 5.59896
-0.85407, 22.26563
-0.85407, 38.93229
-0.85407, 55.59896
-0.85228, 72.26563
-0.85228, 88.93229
-0.85049, 105.59896
-0.8487, 122.26563
-0.8487, 138.93229
-0.8487, 155.59896
-0.8487, 172.26563
-0.84333, 188.93229
-0.84691, 205.59896
-0.84512, 222.26563
-0.87198, -202.73438
-0.83796, 158.37674
-0.83796, 141.71007
-0.83617, 125.0434
-0.8308, 108.37674
-0.82543, 91.71007
-0.81826, 108.37674
-0.81647, 125.0434
-0.8111, 141.71007
-0.8111, 158.37674
-0.81289, 175.0434
-0.81289, 191.71007
-0.81289, 208.37674
-0.8111, 225.0434
-0.80752, 108.37674
-0.80215, 91.71007
-0.80036, 75.0434
-0.80036, 58.37674
-0.7932, 41.71007
-0.79141, 25.0434
-0.78962, 8.37674
-0.78962, -8.28993
-0.78603, -24.9566
-0.77529, -16.62326
-0.77529, 0.0434
-0.78245, -41.62326
-0.77708, -58.28993
-0.77529, -74.9566
-0.77529, -91.62326
-0.7735, -108.28993
-0.77171, -124.9566
-0.77171, -141.62326
-0.77171, -158.28993
-0.76634, -174.9566
-0.76634, -191.62326
-0.76813, -208.28993
-0.76813, -224.9566
-0.7556, -183.28993
-0.75022, -166.62326
-0.75201, -149.9566
-0.75201, -133.28993
-0.75201, -116.62326
-0.7538, -199.9566
-0.75739, -216.62326
-0.75739, -233.28993
-0.74306, -149.9566
-0.74127, -133.28993
-0.74127, -116.62326
-0.74127, -99.9566
-0.74127, -83.28993
-0.74127, -66.62326
-0.73948, -49.9566
-0.73948, -33.28993
-0.73769, -16.62326
-0.73769, 0.0434
-0.73769, 16.71007
-0.7359, 33.37674
-0.7359, 50.0434
-0.73411, 66.71007
-0.73411, 83.37674
-0.73411, 100.0434
-0.73411, 116.71007
-0.73411, 133.37674
-0.73411, 150.0434
-0.73232, 166.71007
-0.73232, 183.37674
-0.73053, 200.0434
-0.72874, 216.71007
-0.72516, 233.37674
-0.72516, 250.0434
-0.72516, 266.71007
-0.72516, 283.37674
-0.74664, -216.62326
-0.74664, -233.28993
-0.74664, -249.9566
-0.71799, 205.59896
-0.71083, 222.26563
-0.71083, 238.93229
-0.71083, 255.59896
-0.71083, 272.26563
-0.71083, 288.93229
-0.71441, 188.93229
-0.70546, 172.26563
-0.70367, 155.59896
-0.70367, 138.93229
-0.70188, 122.26563
-0.70188, 105.59896
-0.70188, 88.93229
-0.70009, 72.26563
-0.6983, 55.59896
-0.6983, 38.93229
-0.6983, 22.26563
-0.6983, 5.59896
-0.6983, -11.06771
-0.68756, -16.62326
-0.68577, 0.0434
-0.68039, 16.71007
-0.68039, 33.37674
-0.68039, 50.0434
-0.6786, 66.71007
-0.7162, 172.26563
-0.69472, -33.28993
-0.67502, 0.0434
-0.67502, -16.62326
-0.67502, -33.28993
-0.67323, -49.9566
-0.67144, -66.62326
-0.66965, -83.28993
-0.65891, -80.51215
-0.65533, -63.84549
-0.65533, -47.17882
-0.66607, -99.9566
-0.66786, -116.62326
-0.66607, -133.28993
-0.66249, -149.9566
-0.66428, -166.62326
-0.66428, -183.28993
-0.65175, -97.17882
-0.64996, -113.84549
-0.64996, -130.51215
-0.64458, -147.17882
-0.641, -163.84549
-0.63921, -180.51215
-0.63563, -197.17882
-0.62668, -180.51215
-0.6231, -163.84549
-0.6231, -147.17882
-0.6231, -130.51215
-0.62131, -113.84549
-0.62131, -97.17882
-0.62131, -80.51215
-0.61952, -63.84549
-0.61952, -47.17882
-0.61952, -30.51215
-0.61952, -13.84549
-0.61952, 2.82118
-0.61773, 19.48785
-0.61594, 36.15451
-0.61594, 52.82118
-0.61594, 69.48785
-0.61594, 86.15451
-0.61415, 102.82118
-0.61056, 119.48785
-0.60698, 136.15451
-0.60519, 152.82118
-0.60519, 169.48785
-0.60519, 186.15451
-0.63026, -213.84549
-0.59982, 111.15451
-0.59982, 94.48785
-0.59624, 77.82118
-0.58908, 94.48785
-0.58371, 111.15451
-0.58371, 127.82118
-0.58371, 144.48785
-0.59266, 61.15451
-0.57833, 80.59896
-0.56759, 77.82118
-0.56938, 97.26563
-0.56938, 61.15451
-0.56938, 44.48785
-0.57117, 27.82118
-0.56759, 11.15451
-0.55864, 100.0434
-0.55864, 116.71007
-0.55864, 133.37674
-0.55864, 150.0434
-0.55864, 166.71007
-0.55685, 77.82118
-0.55327, 61.15451
-0.55327, 44.48785
-0.55327, 27.82118
-0.55148, 11.15451
-0.55148, -5.51215
-0.55148, -22.17882
-0.55148, -38.84549
-0.55148, -55.51215
-0.5479, -72.17882
-0.54252, -88.84549
-0.54611, -105.51215
-0.53536, -116.62326
-0.53536, -133.28993
-0.53715, -149.9566
-0.52999, -149.9566
-0.5282, -166.62326
-0.51925, -149.9566
-0.51746, -133.28993
-0.51388, -116.62326
-0.51209, -99.9566
-0.5085, -83.28993
-0.50671, -66.62326
-0.50492, -49.9566
-0.50492, -33.28993
-0.50492, -16.62326
-0.50492, 0.0434
-0.50134, 16.71007
-0.50134, 33.37674
-0.49776, 50.0434
-0.49776, 66.71007
-0.49776, 83.37674
-0.49776, 100.0434
-0.49776, 116.71007
-0.49597, 133.37674
-0.49597, 150.0434
-0.49418, 166.71007
-0.49418, 183.37674
-0.49418, 200.0434
-0.49418, 216.71007
-0.49239, 233.37674
-0.49239, 250.0434
-0.49239, 266.71007
-0.49239, 283.37674
-0.4906, 300.0434
-0.48523, 316.71007
-0.48165, 333.37674
-0.52462, -183.28993
-0.52283, -199.9566
-0.52462, -216.62326
-0.47986, 300.0434
-0.47807, 283.37674
-0.47807, 266.71007
-0.47628, 250.0434
-0.47628, 233.37674
-0.47628, 216.71007
-0.47628, 200.0434
-0.47628, 183.37674
-0.47449, 166.71007
-0.47449, 150.0434
-0.47449, 133.37674
-0.47269, 116.71007
-0.4709, 100.0434
-0.46016, 97.26563
-0.46016, 113.93229
-0.46016, 130.59896
-0.46016, 147.26563
-0.46374, 80.59896
-0.46195, 63.93229
-0.45837, 47.26563
-0.45479, 30.59896
-0.45479, 13.93229
-0.45479, -2.73438
-0.45479, -19.40104
-0.45479, -36.06771
-0.453, -52.73438
-0.453, -69.40104
-0.44226, -74.9566
-0.44047, -58.28993
-0.44047, -41.62326
-0.44047, -24.9566
-0.44584, -91.62326
-0.44942, -108.28993
-0.44942, -124.9566
-0.43509, -102.73438
-0.4333, -119.40104
-0.4333, -136.06771
-0.43151, -152.73438
-0.42972, -169.40104
-0.42614, -186.06771
-0.42435, -202.73438
-0.42077, -219.40104
-0.4154, -186.06771
-0.4154, -169.40104
-0.41361, -152.73438
-0.41182, -136.06771
-0.41182, -119.40104
-0.41003, -102.73438
-0.41003, -86.06771
-0.40645, -69.40104
-0.40824, -52.73438
-0.42077, -236.06771
-0.42077, -252.73438
-0.39928, -97.17882
-0.39928, -113.84549
-0.39928, -130.51215
-0.39928, -147.17882
-0.39928, -163.84549
-0.3957, -180.51215
-0.3957, -197.17882
-0.3957, -213.84549
-0.3957, -230.51215
-0.39391, -247.17882
-0.39391, -263.84549
-0.38675, -247.17882
-0.38317, -230.51215
-0.38138, -213.84549
-0.38138, -197.17882
-0.37959, -180.51215
-0.37601, -163.84549
-0.37422, -147.17882
-0.37243, -130.51215
-0.37064, -113.84549
-0.37064, -97.17882
-0.37064, -80.51215
-0.37064, -63.84549
-0.37064, -47.17882
-0.37064, -30.51215
-0.37064, -13.84549
-0.37064, 2.82118
-0.37064, 19.48785
-0.37064, 36.15451
-0.37064, 52.82118
-0.36885, 69.48785
-0.36885, 86.15451
-0.36526, 102.82118
-0.36526, 119.48785
-0.35989, 136.15451
-0.35989, 152.82118
-0.35989, 169.48785
-0.35989, 186.15451
-0.35989, 202.82118
-0.35989, 219.48785
-0.3581, 236.15451
-0.3581, 252.82118
-0.35452, 269.48785
-0.35273, 286.15451
-0.35273, 302.82118
-0.35452, 319.48785
-0.35452, 336.15451
-0.35273, 352.82118
-0.35273, 369.48785
-0.35273, 386.15451
-0.35273, 402.82118
-0.35273, 419.48785
-0.39033, -280.51215
-0.34915, 252.82118
-0.34736, 236.15451
-0.34736, 219.48785
-0.34378, 202.82118
-0.3402, 186.15451
-0.33841, 169.48785
-0.33303, 152.82118
-0.33124, 136.15451
-0.33124, 119.48785
-0.32945, 102.82118
-0.32766, 86.15451
-0.32408, 69.48785
-0.31334, 66.71007
-0.30618, 83.37674
-0.30439, 100.0434
-0.30439, 116.71007
-0.30976, 133.37674
-0.3205, 50.0434
-0.31692, 33.37674
-0.31692, 16.71007
-0.31513, 0.0434
-0.31692, -16.62326
-0.30081, 66.71007
-0.30081, 50.0434
-0.29543, 33.37674
-0.29543, 16.71007
-0.29364, 0.0434
-0.29185, -16.62326
-0.29185, -33.28993
-0.28111, -24.9566
-0.2829, -8.28993
-0.28111, 8.37674
-0.29722, 133.37674
-0.29722, 150.0434
-0.29722, 166.71007
-0.29722, 183.37674
-0.28111, -49.9566
-0.27216, -33.28993
-0.27932, -66.62326
-0.27932, -83.28993
-0.27932, -99.9566
-0.27932, -116.62326
-0.27932, -133.28993
-0.27753, -149.9566
-0.27395, -166.62326
-0.27216, -183.28993
-0.27574, -199.9566
-0.27574, -216.62326
-0.26321, -199.9566
-0.25783, -183.28993
-0.25783, -166.62326
-0.25783, -149.9566
-0.25783, -133.28993
-0.25783, -116.62326
-0.25783, -99.9566
-0.25604, -83.28993
-0.25604, -66.62326
-0.25604, -49.9566
-0.25604, -33.28993
-0.25604, -16.62326
-0.25425, 0.0434
-0.25246, 16.71007
-0.25067, 33.37674
-0.24888, 50.0434
-0.2453, 66.71007
-0.2453, 83.37674
-0.2453, 100.0434
-0.24351, 116.71007
-0.24172, 133.37674
-0.24172, 150.0434
-0.24172, 166.71007
-0.24172, 183.37674
-0.24172, 200.0434
-0.24172, 216.71007
-0.24172, 233.37674
-0.24172, 250.0434
-0.23993, 266.71007
-0.26321, -216.62326
-0.26141, -233.28993
-0.23277, 250.0434
-0.23277, 233.37674
-0.23098, 216.71007
-0.23098, 200.0434
-0.22919, 183.37674
-0.22919, 166.71007
-0.22739, 150.0434
-0.2256, 133.37674
-0.2256, 116.71007
-0.2256, 100.0434
-0.2256, 83.37674
-0.2256, 66.71007
-0.2256, 50.0434
-0.22023, 33.37674
-0.22023, 16.71007
-0.21844, 0.0434
-0.22202, -16.62326
-0.2077, -5.51215
-0.2077, -22.17882
-0.2077, -38.84549
-0.20949, -55.51215
-0.19696, -19.40104
-0.19517, -36.06771
-0.19517, -52.73438
-0.19338, -69.40104
-0.19338, -86.06771
-0.19338, -102.73438
-0.19338, -119.40104
-0.19338, -136.06771
-0.18263, -130.51215
-0.17547, -113.84549
-0.17547, -97.17882
-0.17547, -80.51215
-0.17189, -63.84549
-0.17189, -47.17882
-0.17368, -30.51215
-0.18979, -152.73438
-0.18979, -169.40104
-0.18979, -186.06771
-0.18979, -202.73438
-0.18979, -219.40104
-0.18979, -236.06771
-0.16652, -130.51215
-0.16652, -147.17882
-0.16652, -163.84549
-0.16473, -180.51215
-0.16294, -197.17882
-0.15398, -180.51215
-0.1504, -163.84549
-0.14682, -147.17882
-0.14503, -130.51215
-0.14503, -113.84549
-0.15936, -213.84549
-0.15936, -230.51215
-0.15936, -247.17882
-0.13608, -155.51215
-0.13071, -138.84549
-0.13071, -122.17882
-0.13071, -105.51215
-0.13071, -88.84549
-0.13071, -72.17882
-0.13071, -55.51215
-0.13071, -38.84549
-0.13071, -22.17882
-0.12892, -5.51215
-0.12892, 11.15451
-0.12892, 27.82118
-0.12713, 44.48785
-0.12713, 61.15451
-0.12713, 77.82118
-0.12713, 94.48785
-0.12713, 111.15451
-0.12534, 127.82118
-0.12355, 144.48785
-0.12355, 161.15451
-0.12355, 177.82118
-0.12175, 194.48785
-0.12175, 211.15451
-0.11996, 227.82118
-0.11817, 244.48785
-0.11638, 261.15451
-0.11459, 277.82118
-0.10922, 294.48785
-0.1128, 311.15451
-0.11101, 327.82118
-0.13787, -172.17882
-0.10385, 275.0434
-0.10206, 258.37674
-0.10027, 241.71007
-0.10027, 225.0434
-0.09848, 208.37674
-0.09848, 191.71007
-0.09848, 175.0434
-0.09848, 158.37674
-0.09669, 141.71007
-0.09669, 125.0434
-0.0949, 108.37674
-0.0949, 91.71007
-0.09311, 75.0434
-0.09132, 58.37674
-0.08774, 41.71007
-0.08415, 25.0434
-0.08415, 8.37674
-0.07878, -8.28993
-0.07341, -24.9566
-0.06267, -22.17882
-0.05372, -5.51215
-0.05192, 11.15451
-0.0573, 27.82118
-0.0573, 44.48785
-0.0573, 61.15451
-0.07341, -41.62326
-0.06983, -58.28993
-0.06983, -74.9566
-0.06983, -91.62326
-0.05192, -30.51215
-0.04476, -47.17882
-0.04118, -63.84549
-0.04118, -80.51215
-0.04118, -97.17882
-0.04118, -113.84549
-0.04118, -130.51215
-0.03939, -147.17882
-0.03939, -163.84549
-0.02865, -163.84549
-0.02865, -147.17882
-0.02865, -130.51215
-0.02507, -113.84549
-0.02328, -97.17882
-0.01791, -80.51215
-0.01791, -63.84549
-0.01791, -47.17882
-0.01791, -30.51215
-0.01611, -13.84549
-0.01611, 2.82118
-0.0197, 19.48785
-0.03402, -180.51215
-0.03402, -197.17882
-0.03581, -213.84549
-0.01432, -113.84549
-0.01253, 19.48785
-1.69919, -119.40104
-1.70098, -136.06771
-1.71173, -138.84549
-1.71352, -122.17882
-1.71352, -105.51215
-1.71531, -88.84549
-1.71531, -72.17882
-1.71531, -55.51215
-1.7171, -38.84549
-1.72068, -22.17882
-1.72426, -5.51215
-1.72426, 11.15451
-1.72247, 27.82118
-1.70457, -155.51215
-1.70457, -172.17882
-1.70815, -188.84549
-1.70994, -205.51215
-1.70994, -222.17882
-1.70994, -238.84549
-1.70994, -255.51215
-1.735, -11.06771
-1.73859, 5.59896
-1.73859, 22.26563
-1.74575, 38.93229
-1.75649, 50.0434
-1.75649, 66.71007
-1.76007, 83.37674
-1.76365, 100.0434
-1.76723, 116.71007
-1.76723, 133.37674
-1.76902, 150.0434
-1.76902, 166.71007
-1.7744, 183.37674
-1.77619, 200.0434
-1.77798, 216.71007
-1.77977, 233.37674
-1.78335, 250.0434
-1.78514, 266.71007
-1.78514, 283.37674
-1.78335, 300.0434
-1.69561, -188.84549
-1.69024, -205.51215
-1.68308, -188.84549
-1.68308, -172.17882
-1.68129, -155.51215
-1.68129, -138.84549
-1.68129, -122.17882
-1.68129, -105.51215
-1.6795, -88.84549
-1.6795, -72.17882
-1.6795, -55.51215
-1.6795, -38.84549
-1.6795, -22.17882
-1.6795, -5.51215
-1.67771, 11.15451
-1.67771, 27.82118
-1.67771, 44.48785
-1.67592, 61.15451
-1.67592, 77.82118
-1.67413, 94.48785
-1.67413, 111.15451
-1.67055, 127.82118
-1.66876, 144.48785
-1.66876, 161.15451
-1.66697, 177.82118
-1.66697, 194.48785
-1.66338, 211.15451
-1.66338, 227.82118
-1.66159, 244.48785
-1.65443, 261.15451
-1.65622, 277.82118
-1.6598, 294.48785
-1.6598, 311.15451
-1.72963, -38.84549
-1.72963, -55.51215
-1.74038, -36.06771
-1.735, 47.26563
-1.75828, 33.37674
-1.76007, 16.71007
-1.76186, 0.0434
-1.76186, -16.62326
